time,consumption,name,category,description,pid,mainThreadIndex,itération
3414.387339,437978108,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3424.761225,102945964,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3434.491294,105523003,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3444.494705,111202664,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3454.491293,114203559,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3464.489504,113457574,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3474.489169,116255018,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3484.488501,115712484,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3494.490082,113610162,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3504.488813,115356445,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3514.492337,116797553,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3524.488349,118662516,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3534.490207,117611356,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3544.499184,118170844,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3554.491479,116543240,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3564.487001,117373996,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3574.48987,117611356,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3584.488261,118357340,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3594.490002,118815104,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3604.490168,117865669,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3614.493126,116899278,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3624.491704,113915337,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3634.493073,109693740,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3644.491128,101453993,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3654.490714,115458170,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3664.490459,113830567,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3674.490489,117577446,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3684.489802,116034614,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3694.502245,115949843,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3704.490486,115390354,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3714.490665,115763346,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3724.489232,118255615,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3734.496621,116390652,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3744.488936,116458469,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3754.488986,115831163,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3764.489772,115865072,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3774.49183,114864773,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3784.489483,115186904,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3794.491304,115068223,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3804.488444,113949246,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3814.490874,112491184,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3824.48832,117085775,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3834.491504,111321343,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3844.491966,117102729,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3854.490119,112915039,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3864.487464,113610162,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3874.490501,112186008,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3884.490538,117017958,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3894.491358,117679172,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3904.492252,117560492,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3914.489652,117797852,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
3924.486437,118492974,Power: CPU package,power,Consumption of the whole processor package,71855,0,0
