time,consumption,name,category,description,pid,mainThreadIndex,itération
3477.970271,248548719,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3508.155981,185936822,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3510.800918,31500922,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3519.936485,99368625,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3529.93621,112152100,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3539.937024,114780002,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3549.935589,117916531,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3559.934387,117204454,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3569.935137,117526585,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3579.936973,118492974,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3589.937114,119035509,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3599.936407,118204752,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3609.934471,117763944,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3619.935705,119018554,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3629.936322,120357937,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3639.960241,118442112,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3649.936689,118153890,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3659.936851,118052165,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3669.937303,119662814,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3679.936362,118865967,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3689.941602,112677680,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3699.93588,117204455,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3709.941227,114695231,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3719.936849,116238064,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3729.935415,114135742,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3739.937277,101182726,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3749.937755,111558702,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3759.937274,113237169,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3769.935802,112355550,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3779.936501,113084581,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3789.937642,111423069,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3799.936288,113135444,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3809.937577,113355848,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3819.935751,113118490,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3829.9386,114576551,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3839.935738,115678576,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3849.937613,113355848,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3859.937084,114084880,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3869.935226,115729438,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3879.936645,114101834,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3889.936646,115424262,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3899.936799,113525390,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3910.11772,109541152,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3919.936462,112406412,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3929.93815,112152100,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3939.935624,111982557,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3949.938583,111948650,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3959.936567,112813313,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3969.936898,114305285,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3979.936599,112118191,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3989.936483,114101834,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
3999.935958,112542046,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4009.941558,113423665,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4019.937113,115763347,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4029.938712,118272569,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4039.980987,117390951,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4049.967107,117441813,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4059.935606,106268989,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4071.822976,139482286,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4079.937581,94146728,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4089.935867,119561090,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4099.952477,120001899,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4110.061005,120001899,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4119.942018,115983751,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4129.939421,117628309,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4139.969156,118425157,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4149.938006,117340088,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4159.93769,114813911,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4169.938571,117763943,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4179.935888,117679172,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4189.93924,115848118,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4199.935121,119866265,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4209.935833,117051866,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4219.940217,116407606,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4229.939311,116967096,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4239.940322,118984646,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4249.975725,117017958,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4259.93963,116034614,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4269.991908,119272867,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4279.935308,119323731,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4289.943781,119408501,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4299.93542,118645562,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4309.936326,117526585,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4319.936966,119374593,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4329.943317,118170844,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4339.936742,118832058,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4349.937478,119798449,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4359.935931,118001302,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4370.054019,119764540,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4379.939116,109592014,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4389.938499,119781494,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4399.935089,118306478,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4410.320059,128750271,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4419.938675,105658637,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4429.93581,117051866,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4439.935227,119459364,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4449.935135,119086372,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4459.936685,117746989,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4469.935493,118323432,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4479.937089,120713976,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4489.933484,118899875,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4499.961747,118018256,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4510.085798,114034017,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4519.934343,114220513,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
4529.943362,116763645,Power: CPU package,power,Consumption of the whole processor package,84651,0,13
