time,consumption,name,category,description,pid,mainThreadIndex,itération
3419.17044,8756849,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3429.163188,6150140,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3439.142645,6239149,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3449.136553,5819533,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3459.16342,6323920,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3469.162537,5535550,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3479.162023,6404452,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3489.164343,5997552,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3499.164723,5997552,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3509.16471,6281535,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3519.163757,6217956,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3529.163501,5819533,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3539.162387,6586711,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3549.162826,6374783,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3559.163054,6167094,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3569.163854,5849202,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3579.162443,5806817,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3589.162543,5696615,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3599.163674,5692376,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3609.162996,5539788,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3619.162921,5683899,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3629.162409,5603366,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3639.163395,5895827,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3649.161547,6039937,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3659.163953,6302728,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3669.16381,7510715,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3679.164266,6764729,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3689.163476,6764730,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3699.162117,6972419,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3709.163671,6230672,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3719.165199,6841024,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3729.163577,5777147,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3739.164794,6934272,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3749.163816,6328159,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3759.164662,6018745,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3769.163768,6001790,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3779.16243,6133185,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3789.162926,6205241,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3799.163538,6056892,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3809.162376,6035699,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3819.162821,5883111,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3829.161675,6006028,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3839.163222,6213718,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3849.163363,6128947,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3859.163838,6696913,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3869.164736,6103516,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3879.165787,5963643,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3889.162519,6095039,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3899.16338,5878872,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3909.163662,5933974,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3919.164609,6243388,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3929.163478,5755954,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3939.164982,5887349,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3949.16504,6111993,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3959.164681,6006029,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3969.20554,7358127,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3979.162182,5777147,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3989.161615,5883111,Power: DRAM,power,Consumption of the dram domain,86661,0,15
3999.163404,5378723,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4009.160824,6205241,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4019.161978,7099576,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4029.162301,6162855,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4039.165255,6192525,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4049.163324,6684198,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4059.166424,6434122,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4069.164836,5700853,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4079.163864,7112292,Power: DRAM,power,Consumption of the dram domain,86661,0,15
4089.267806,7883707,Power: DRAM,power,Consumption of the dram domain,86661,0,15
