time,consumption,name,category,description,pid,mainThreadIndex,itération
3404.894441,117424858,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3414.914379,98944770,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3424.889365,102132162,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3434.890823,108303494,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3444.887093,109863281,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3454.889314,112796360,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3464.887056,117950439,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3474.890631,117543538,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3484.888563,117085775,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3494.890522,117238363,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3504.889904,116916233,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3514.889136,118696424,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3524.889101,105489095,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3534.890327,129292806,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3544.887055,107167562,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3554.888347,119205051,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3564.888656,118679471,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3574.89107,119018554,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3584.887667,120273166,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3594.918082,117916532,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3604.892032,112118191,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3614.894481,115000407,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3624.890468,113762749,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3635.004541,115882026,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3644.890116,111083984,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3654.889993,112948948,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3664.892439,113745795,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3674.891385,116865370,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3684.890224,116594103,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3695.651028,127190484,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3705.008408,105031331,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3715.266986,115458171,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3724.890372,116865370,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3734.888602,117797851,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3744.888624,113627116,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3754.892251,118035211,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3764.888662,115661621,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3774.889661,114559597,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3784.886531,117865669,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3794.889062,115441216,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3804.886862,118391249,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3814.889768,115288628,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3824.889283,116322836,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3834.890218,118594699,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3844.889133,115729438,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3854.891099,107404921,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3864.891103,116882324,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3874.892183,116797553,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3884.889381,117034912,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3894.890667,117373997,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3904.94248,117967393,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3914.888757,116119385,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3924.889005,116221110,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3934.890543,117102729,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3944.888109,115509033,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3954.886798,118984647,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3964.889789,118679470,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3974.891918,118442112,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3984.893953,118289523,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
3994.888978,119171143,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4004.891769,113525390,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4014.892358,117679173,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4024.923398,114220513,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4034.89342,115339491,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4044.890547,116695828,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4054.889616,118526882,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4064.888862,119391548,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4074.889128,117136637,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4084.891194,119323731,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4094.891184,119544135,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4104.891196,114627414,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4114.89109,114915636,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
4125.007056,116373698,Power: CPU package,power,Consumption of the whole processor package,88607,0,17
