time,consumption,name,category,description,pid,mainThreadIndex,itération
3477.970271,16309950,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3508.155981,11130438,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3510.800918,1848009,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3519.936485,6548564,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3529.93621,7277595,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3539.937024,6294250,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3549.935589,5900065,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3559.934387,5569458,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3569.935137,6277297,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3579.936973,6027221,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3589.937114,6184048,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3599.936407,6273058,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3609.934471,6510417,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3619.935705,6086561,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3629.936322,5883111,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3639.960241,6527371,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3649.936689,6260342,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3659.936851,6718106,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3669.937303,6646050,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3679.936362,6629096,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3689.941602,7214017,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3699.93588,7341173,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3709.941227,7230970,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3719.936849,7158915,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3729.935415,6756253,Power: DRAM,power,Consumption of the dram domain,84651,0,13
3739.937277,5692376,Power: DRAM,power,Consumption of the dram domain,84651,0,13
