train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,46,281,,,153305.546875,264.0089416503906,,
222.77781677246094,47,284,,,,,,
,47,287,176943.453125,323.63885498046875,,,,
,47,287,,,97155.8828125,222.30487060546875,,
187.66384887695312,48,289,,,,,,
,48,293,126305.4453125,252.52670288085938,,,,
,48,293,,,133129.96875,241.7431640625,,
150.5309295654297,49,294,,,,,,
273.56939697265625,49,299,,,,,,
,49,299,125020.21875,250.81085205078125,,,,
,49,299,,,119673.5390625,240.24325561523438,,
,50,300,,,,,125020.21875,250.81085205078125
